Acura;Integra;-- [1985-1990] Hatchback;Hatchback;1.6;1985|1986|1987|1988|1989|1990;1590ccm 100HP 74KW (Petrol);13533;
Acura;Integra;-- [1985-2001] Saloon;Saloon;1.8 GS-R;1993|1994|1995|1996|1997|1998|1999|2000|2001;1797ccm 200HP 147KW (Petrol);22079;
Acura;Integra;-- [1985-1990] Coupe;Coupe;1.6;1985|1986|1987|1988|1989|1990;1590ccm 100HP 74KW (Petrol);13536;
Acura;Integra;-- [1985-1990] Coupe;Coupe;1.5;1985|1986|1987|1988|1989|1990;1488ccm 85HP 63KW (Petrol);13535;
Acura;Legend;-- [1986-1991] Saloon;Saloon;2.5;1986|1987;2494ccm 153HP 113KW (Petrol);35025;
Acura;Legend;MK III [1996-2005] Saloon;Saloon;3.5;1996|1997|1998|1999|2000|2001|2002|2003|2004|2005;3474ccm 205HP 151KW (Petrol);13561;
Acura;Legend;-- [1986-1991] Saloon;Saloon;2.0;1988|1989|1990|1991;1996ccm 145HP 107KW (Petrol);13542;
Acura;Legend;-- [1986-1991] Saloon;Saloon;2.5;1986|1987;2494ccm 165HP 122KW (Petrol);13544;
Acura;Legend;-- [1986-1991] Coupe;Coupe;2.7;1987|1988|1989|1990|1991;2675ccm 177HP 130KW (Petrol);13546;
Acura;Legend;-- [1986-1991] Saloon;Saloon;2.7;1987|1988|1989|1990|1991;2675ccm 169HP 124KW (Petrol);11143;
Acura;Legend;-- [1986-1991] Saloon;Saloon;2.0 Turbo;1988|1989|1990|1991;1996ccm 190HP 140KW (Petrol);13543;
Acura;Legend;MK II [1991-1996] Saloon;Saloon;3.2;1991|1992|1993|1994|1995|1996;3206ccm 205HP 151KW (Petrol);13547;
